"Workflow";"Version";"Typ";"Kategorie";"Element";"Id";"start";"stop";"Akteur";"Körperteil";"Wert";"Notizen";"action";"structure";
"PantomV15.xml";"cor";"state";"Camera Tracking Mode";"hands-on";"0";"00:00:00";"00:22:43";"";"";"hands-on";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"44";"00:16:19";"00:16:21";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"45";"00:16:21";"00:16:23";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"46";"00:16:23";"00:16:26";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"47";"00:16:26";"00:16:29";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"48";"00:16:29";"00:16:34";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"49";"00:16:34";"00:17:40";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"50";"00:17:40";"00:17:48";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"51";"00:17:48";"00:18:08";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"52";"00:18:08";"00:18:15";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"53";"00:18:15";"00:18:16";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"54";"00:18:16";"00:18:17";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"55";"00:18:17";"00:18:19";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"56";"00:18:19";"00:18:23";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"57";"00:18:23";"00:18:32";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"58";"00:18:32";"00:18:45";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"59";"00:18:45";"00:18:50";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"60";"00:18:50";"00:19:18";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"61";"00:19:18";"00:19:21";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"62";"00:19:21";"00:19:25";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"63";"00:19:25";"00:19:27";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"64";"00:19:27";"00:19:33";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"65";"00:19:33";"00:19:35";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"66";"00:19:35";"00:19:47";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"67";"00:19:47";"00:20:00";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"68";"00:20:00";"00:20:03";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"69";"00:20:03";"00:20:05";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"70";"00:20:05";"00:20:22";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"71";"00:20:22";"00:20:25";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"72";"00:20:25";"00:20:27";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"73";"00:20:27";"00:20:37";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"74";"00:20:37";"00:20:38";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"75";"00:20:38";"00:20:46";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"76";"00:20:46";"00:20:50";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"77";"00:20:50";"00:20:54";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"78";"00:20:54";"00:20:59";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"79";"00:20:59";"00:21:00";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"80";"00:21:00";"00:21:02";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"81";"00:21:02";"00:21:03";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"82";"00:21:03";"00:21:04";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"83";"00:21:04";"00:21:08";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"84";"00:21:08";"00:21:10";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"85";"00:21:10";"00:21:34";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"86";"00:21:34";"00:21:38";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"87";"00:21:38";"00:21:43";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"88";"00:21:43";"00:21:49";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"89";"00:21:49";"00:22:03";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"90";"00:22:03";"00:22:05";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"91";"00:22:05";"00:22:15";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"92";"00:22:15";"00:22:32";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"93";"00:22:32";"00:22:33";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"94";"00:22:33";"00:22:41";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"95";"00:22:41";"00:22:43";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"96";"00:22:41";"00:22:43";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"97";"00:22:43";"00:22:43";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"no";"98";"00:00:00";"00:00:22";"";"";"no";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"yes";"99";"00:00:22";"00:00:39";"";"";"yes";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"no";"100";"00:00:39";"00:00:42";"";"";"no";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"yes";"101";"00:00:42";"00:12:49";"";"";"yes";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"no";"102";"00:12:49";"00:13:11";"";"";"no";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"yes";"103";"00:13:11";"00:13:25";"";"";"yes";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"no";"104";"00:13:25";"00:13:34";"";"";"no";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"yes";"105";"00:13:34";"00:14:15";"";"";"yes";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"no";"106";"00:14:15";"00:14:21";"";"";"no";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"yes";"107";"00:14:21";"00:16:52";"";"";"yes";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"no";"108";"00:16:52";"00:17:13";"";"";"no";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"yes";"109";"00:17:13";"00:19:47";"";"";"yes";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"no";"110";"00:19:47";"00:20:00";"";"";"no";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"yes";"111";"00:20:00";"00:22:03";"";"";"yes";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"no";"112";"00:22:03";"00:22:05";"";"";"no";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"yes";"113";"00:22:05";"00:22:43";"";"";"yes";"";"";""
"PantomV15.xml";"cor";"state";"Part of surgery";"no";"114";"00:22:43";"00:22:43";"";"";"no";"";"";""
"PantomV15.xml";"cor";"state";"Phase";"Diagnostic Laparoscopy";"115";"00:00:00";"00:01:07";"";"";"Diagnostic Laparoscopy";"";"";""
"PantomV15.xml";"cor";"state";"Phase";"Mobilization of colon";"116";"00:01:07";"00:08:14";"";"";"Mobilization of colon";"";"";""
"PantomV15.xml";"cor";"state";"Phase";"Vessel resection";"117";"00:08:14";"00:13:23";"";"";"Vessel resection";"";"";""
"PantomV15.xml";"cor";"state";"Phase";"Dissection of the rectum";"118";"00:13:23";"00:19:43";"";"";"Dissection of the rectum";"";"";""
"PantomV15.xml";"cor";"state";"Phase";"Resection of rectum";"119";"00:19:43";"00:22:43";"";"";"Resection of rectum";"";"";""
"PantomV15.xml";"cor";"state";"Step";"check for metastasis and adhesions";"120";"00:00:00";"00:01:07";"";"";"check for metastasis and adhesions";"";"";""
"PantomV15.xml";"cor";"state";"Step";"mobilization sigmoid";"121";"00:01:07";"00:04:09";"";"";"mobilization sigmoid";"";"";""
"PantomV15.xml";"cor";"state";"Step";"mobilization descending colon";"122";"00:04:09";"00:06:58";"";"";"mobilization descending colon";"";"";""
"PantomV15.xml";"cor";"state";"Step";"mobilization splenic flexure";"123";"00:06:58";"00:07:43";"";"";"mobilization splenic flexure";"";"";""
"PantomV15.xml";"cor";"state";"Step";"inspection colon";"124";"00:07:43";"00:08:14";"";"";"inspection colon";"";"";""
"PantomV15.xml";"cor";"state";"Step";"lancing retroperitoneum";"125";"00:08:14";"00:08:46";"";"";"lancing retroperitoneum";"";"";""
"PantomV15.xml";"cor";"state";"Step";"delineating of vessels";"126";"00:08:46";"00:10:15";"";"";"delineating of vessels";"";"";""
"PantomV15.xml";"cor";"state";"Step";"division of artery";"127";"00:10:15";"00:11:34";"";"";"division of artery";"";"";""
"PantomV15.xml";"cor";"state";"Step";"division of vein";"128";"00:11:34";"00:13:23";"";"";"division of vein";"";"";""
"PantomV15.xml";"cor";"state";"Step";"opening of lesser pelvic peritoneum";"129";"00:13:23";"00:16:51";"";"";"opening of lesser pelvic peritoneum";"";"";""
"PantomV15.xml";"cor";"state";"Step";"dissection rectum";"130";"00:16:51";"00:19:43";"";"";"dissection rectum";"";"";""
"PantomV15.xml";"cor";"state";"Step";"transect rectum";"131";"00:19:43";"00:21:10";"";"";"transect rectum";"";"";""
"PantomV15.xml";"cor";"state";"Step";"salvage rectum";"132";"00:21:10";"00:21:58";"";"";"salvage rectum";"";"";""
"PantomV15.xml";"cor";"state";"Step";"visual inspectation lesser pelvis";"133";"00:21:58";"00:22:43";"";"";"visual inspectation lesser pelvis";"";"";""
